link,Author,Title,Chapter
https://novelfull.com//tales-of-the-reincarnated-lord.html,Smoke Is A Path,Tales of the Reincarnated Lord,Chapter 590 Celebration and Budgets
https://novelfull.com//god-of-slaughter.html,Ni Cang Tian,God of Slaughter,Chapter 1618 - Eternal immortal (Finished)
https://novelfull.com//king-of-gods.html,Fast Food Resturant,King of Gods,Chapter 1585 - Reunion
https://novelfull.com//the-legend-of-the-dragon-king.html,Tang Jia San Shao,The Legend of the Dragon King,Chapter 1983 - Eternally Sealed In Ice!
https://novelfull.com//spirit-realm.html,Ni Cang Tian,Spirit Realm,Chapter 1841: A New Era!
https://novelfull.com//eight-treasures-trousseau.html,Butterfly's Shadow Beneath the Moon,Eight Treasures Trousseau,Chapter 108 (END)
https://novelfull.com//god-of-crime.html,Han Yeoul,God of Crime,Chapter 164
https://novelfull.com//my-sassy-crown-princess.html,Ye Yiluo,My Sassy ‘Crown Princess’,Chapter 1012 - Extra Eleven (2) THE END
https://novelfull.com//battle-through-the-heavens.html,Heavenly Silkworm Potato,Battle Through the Heavens,Chapter 1648: The End Is Also A Beginning (End)
https://novelfull.com//coiling-dragon.html,I Eat Tomatoes,Coiling Dragon,Book 21 - RWX’s Afterword
https://novelfull.com//my-cold-and-elegant-ceo-wife.html,I Love Mermaid,My Cold and Elegant CEO Wife,Chapter 2512(End)
https://novelfull.com//lord-xue-ying.html,I Eat Tomatoes,Lord Xue Ying,Chapter 1388 - Overlord (2) [Final Chapter]
https://novelfull.com//warlock-of-the-magus-world.html,The Plagiarist,Warlock of the Magus World,Author’s Afterword
https://novelfull.com//my-dad-is-the-galaxys-prince-charming.html,Mrs. Ago,My Dad Is the Galaxy’s Prince Charming,Chapter 198 -  Personal Time is Needed
https://novelfull.com//my-house-of-horrors.html,I Fix Air-Conditioner,My House of Horrors,Chapter 1211 (END) - My House of Horrors
https://novelfull.com//hidden-marriage.html,Jiong Jiong You Yao,Hidden Marriage,Chapter 2165 (END) - My Little Heart
https://novelfull.com//battle-frenzy.html,Skeleton Wizard,Battle Frenzy,Chapter 1212 - My Most Beloved Friend
https://novelfull.com//omniscient-readers-viewpoint.html,Sing-Shong,Omniscient Reader’s Viewpoint,Chapter 551 (END) - Epilogue 5 – The Eternity and Epilogue (Complete)
https://novelfull.com//breakers.html,Chwiryong,Breakers,Breakers SS #3 – Felicia’s Special Day
https://novelfull.com//everyone-else-is-a-returnee.html,Toika,Everyone Else is a Returnee,Afterword
https://novelfull.com//in-different-world-with-naruto-system.html,鱼丸酱醋米,In Different World with Naruto System,Chapter 381: Space-time passage
https://novelfull.com//the-great-ruler.html,Heavenly Silkworm Potato,The Great Ruler,Chapter 1565(End) - The Death of the Evil Deity (End)
https://novelfull.com//douluo-dalu.html,Tang Jia San Shao,Douluo Dalu,Chapter 336 (END)
https://novelfull.com//i-shall-seal-the-heavens.html,Er Gen,I Shall Seal the Heavens,Dear Fellow Daoists
https://novelfull.com//ghost-emperor-wild-wife-dandy-eldest-miss.html,Xiao Qi Ye,Ghost Emperor Wild Wife: Dandy Eldest Miss,Chapter 2262 - Yun Chutian’s Return (26) [ END ]
https://novelfull.com//swallowed-star.html,I Eat Tomatoes,Swallowed Star,Chapter 1486 - Transcending Reincarnation (The Final Episode) Part 2
https://novelfull.com//the-book-eating-magician.html,McEnroe,The Book Eating Magician,Chapter 400 - Happy Ending (3)
https://novelfull.com//reincarnation-of-the-strongest-sword-god.html,Lucky Old Cat,Reincarnation Of The Strongest Sword God,Chapter 3147 - Chapter 221 - Boundary Mountain Range
https://novelfull.com//superstars-of-tomorrow.html,Chen Ci Lan Tiao,Superstars of Tomorrow,"Chapter 507 (END) - I Came From The Past, And I Belong To The Past (END)"
https://novelfull.com//the-experimental-log-of-the-crazy-lich.html,Angry Squirrel,The Experimental Log of the Crazy Lich,Chapter 841: Side Story 4 - A Simple Mission: Finding the Missing Mother
https://novelfull.com//the-founder-of-diabolism.html,Mò Xiāng Tóngxiù,The Founder of Diabolism,Chapter 126 (END)
https://novelfull.com//trial-marriage-husband-need-to-work-hard.html,Passion Honey,Trial Marriage Husband: Need to Work Hard,Chapter 1274 (END) - The End
https://novelfull.com//heavenly-jewel-change.html,Tang Jia San Shao,Heavenly Jewel Change,Chapter 848 (END)
https://novelfull.com//stellar-transformations.html,I Eat Tomatoes,Stellar Transformations,Book 18 - Chapter 45C
https://novelfull.com//true-martial-world.html,Cocooned Cow,True Martial World,Chapter 1710 - Epilogue: Every Ending Is Also A Beginning
https://novelfull.com//national-school-prince-is-a-girl.html,Warring Young Seven,National School Prince Is A Girl,Chapter 1782-END - We Are The Champion!
https://novelfull.com//god-and-devil-world.html,Zi Chan Bao Zeng,God and Devil World,"Chapter 1217: Omnipotent, Omniscient, Omnipresent (Finale)"
https://novelfull.com//dungeon-defense.html,Yoo Heonhwa,Dungeon Defense,Chapter 43 (END) - Volume 5
https://novelfull.com//the-most-loving-marriage-in-history-master-mus-pampered-wife.html,Bei Chuan Yun Shang Jin,The Most Loving Marriage In History: Master Mu’s Pampered Wife,Chapter 2152_END - Growing Old Together (7)
https://novelfull.com//im-really-a-superstar.html,Chang Yu,I’m Really a Superstar,Chapter 1696 - 'Let It Go' debuts!
https://novelfull.com//unrivaled-tang-sect.html,Tang Jia San Shao,Unrivaled Tang Sect,Chapter 622.4 - Conclusion
https://novelfull.com//great-demon-king.html,Ni Cang Tian,Great Demon King,Chapter 1027_END - Finale
https://novelfull.com//death-is-the-only-ending-for-the-villain.html,권겨을,Death Is The Only Ending For The Villain,Special Chapters 8
https://novelfull.com//common-sense-of-a-dukes-daughter.html,Reia,Common Sense of a Duke’s Daughter,Chapter 265 Epilogue
https://novelfull.com//ancient-strengthening-technique.html,I Am Superfluous,Ancient Strengthening Technique,Author's Note + Translator Note
https://novelfull.com//renegade-immortal.html,Er Gen,Renegade Immortal,Postscript
https://novelfull.com//the-beautiful-wife-of-the-whirlwind-marriage.html,Bath Robey,The Beautiful Wife of the Whirlwind Marriage,Chapter 1583 - Our Encounter is Destined By Fate  
https://novelfull.com//my-husband-warm-the-bed.html,Jiu Shi Mian Mian,"My Husband, Warm The Bed",Chapter C1995
https://novelfull.com//the-99th-divorce.html,Wan Lili,The 99th Divorce,Chapter 2321 (END) - Yes! He Is My Boyfriend
https://novelfull.com//skyfire-avenue.html,Tang Jia San Shao,Skyfire Avenue,The End
https://novelfull.com//arifureta-shokugyou-de-sekai-saikyou-wn.html,Chuuni Suki,Arifureta Shokugyou de Sekai Saikyou (WN),Chapter 420
https://novelfull.com//perfect-secret-love-the-bad-new-wife-is-a-little-sweet.html,Jiong Jiong You Yao,Perfect Secret Love: The Bad New Wife is a Little Sweet,Chapter 2490 [END] - Mini scene: Shameless Competition
https://novelfull.com//sinister-ex-girlfriend.html,妹纸爱吃肉,Sinister Ex-Girlfriend,Chapter 434 - Xu Ce Extra
https://novelfull.com//to-be-a-virtuous-wife.html,齐成琨,To Be A Virtuous Wife,Chapter 123
https://novelfull.com//the-desolate-era.html,I Eat Tomatoes,The Desolate Era, Book 45 - Era - Afterword
https://novelfull.com//library-of-heavens-path.html,Heng Sao Tian Ya,Library of Heaven’s Path,Chapter 2268 - Side Story 3: Sun Qiang
https://novelfull.com//shuras-wrath.html,Mars Gravity,Shura’s Wrath,Chapter 850: Perfect Moon
https://novelfull.com//martial-world.html,Cocooned Cow,Martial World,Afterword
https://novelfull.com//wu-dong-qian-kun.html,Heavenly Silkworm Potato,Wu Dong Qian Kun,Ice Spirit Tribe Side Story 6
https://novelfull.com//kumo-desu-ga-nani-ka.html,Baba Okina,"Kumo Desu ga, Nani ka?",Epilogue
https://novelfull.com//peerless-martial-god.html,Jing Wu Hen,Peerless Martial God,Chapter 2500 (END) - The End
https://novelfull.com//the-magus-era.html,Blood Red,The Magus Era,Chapter 1901: Go on A Long Journey
https://novelfull.com//genius-doctor-black-belly-miss.html,North Night,Genius Doctor: Black Belly Miss,Chapter 3123 - The End - Matchmaking
https://novelfull.com//ancient-godly-monarch.html,Jing Wu Hen,Ancient Godly Monarch,Chapter 2053 - Additional Tales: Legend of the Devilish Female
https://novelfull.com//rebirth-of-the-thief-who-roamed-the-world.html,Mad Snail,Rebirth of the Thief Who Roamed the World,"Chapter 995 (END) - Past Life, This Life (Fin"
https://novelfull.com//black-tech-internet-cafe-system.html,The Leaf That Goes Against Water,Black Tech Internet Cafe System,Chapter 944 - The Ten-Year-Long Internet Story in This World (The End - 2/2)
https://novelfull.com//half-prince.html,Yu Wo,½ Prince,Volume 9 Chapter 8
https://novelfull.com//the-kings-avatar.html,Butterfly Blue,The King's Avatar,"Chapter 1729(END) - Final Update, Thoughts On Completion"
https://novelfull.com//world-of-cultivation.html,Fang Xiang,World of Cultivation,Chapter Nine Hundred and Fifteen – The Ending
https://novelfull.com//the-second-coming-of-gluttony.html,Ro Yu-jin,The Second Coming of Gluttony,Afterword
https://novelfull.com//ze-tian-ji.html,Mao Ni,Ze Tian Ji,Afterword
https://novelfull.com//super-gene.html,Twelve Winged Dark Burning Angel,Super Gene,Chapter 3462 (END) - Epilogue
https://novelfull.com//peerless-martial-god-2.html,Du Wei Q,Peerless Martial God 2,Chapter 1740 - The End!
https://novelfull.com//tensei-shitara-slime-datta-ken-wn.html,Fuse,Tensei Shitara Slime Datta Ken (WN),Chapter 413
https://novelfull.com//otherworldly-evil-monarch.html,Fengling Tianxia,Otherworldly Evil Monarch,Chapter 1277 (END) - Finale!
https://novelfull.com//chongfei-manual.html,Funghe Youyue,Chongfei Manual,Chapter: 171.3 out of 171
https://novelfull.com//womanizing-mage.html,天堂不寂寞,Womanizing Mage,Chapter 675: Sea of Reincarnation [END]
https://novelfull.com//stunning-edge.html,Wú Yì Bǎo Bao,Stunning Edge,Chapter 332 (END)
https://novelfull.com//husband-be-a-gentleman.html,Su Xing Yue,"Husband, Be A Gentleman",Chapter 81
https://novelfull.com//my-youth-began-with-him.html,Baby Piggie,My Youth Began With Him,Chapter 4928 - In The Remaining Lifetime (108)
https://novelfull.com//a-will-eternal.html,Er Gen,A Will Eternal,Chapter 1315 (END) - Epilogue
https://novelfull.com//reincarnator.html,ALLA,Reincarnator,Chapter 492 - Return
https://novelfull.com//the-world-online.html,Sheng Xiao Jian Ke,The World Online,Chapter 1356 - Grand finale
https://novelfull.com//release-that-witch.html,Er Mu,Release that Witch,Chapter 1498(END) - A Brand New Road
